Site,Bac_q0,Bac_q1,Bac_q2,Bac_obs_mpd,Ampd_null_mean.x,Ampd_null_sd.x,Bac_Ampti,Bac_Ampti_p,HNF_q0,HNF_q1,HNF_q2,HNF_obs_mpd,Ampd_null_mean.y,Ampd_null_sd.y,HNF_Ampti,HNF_Ampti_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2099St11,464.366,133.201,62.053,0.336183312,0.337380164,0.011613341,-0.103058391,0.458958314,13.498,6.524,4.759,0.030021137,0.186921634,0.033701572,-4.655583931,1.62E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2109St01,214.461,39.73,14.224,0.262422687,0.318681915,0.020061376,-2.804355314,0.002520866,15.1,2.894,1.622,0.050904471,0.090642166,0.018046907,-2.201911617,0.013835776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2109St03,239.071,39.434,17.841,0.230135975,0.323918877,0.019682817,-4.764709268,9.46E-07,9,2.761,1.82,0.090442469,0.106917869,0.027176015,-0.606247823,0.2721751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2109St05,176.558,19.212,6.679,0.207355268,0.2913561,0.025257269,-3.325808158,0.000440813,10.997,2.817,1.835,0.072920317,0.107481811,0.026345018,-1.311879665,0.09478037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2109St07,160.884,36.255,19.387,0.278360658,0.324802896,0.019535159,-2.377366858,0.008718368,16.976,1.736,1.292,0.010114064,0.052928267,0.016797003,-2.548919097,0.005402868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2109St09,309.789,103.221,47.703,0.329375489,0.336298721,0.013813929,-0.501177585,0.308123074,10,8.08,6.7,0.158416793,0.201288526,0.031292941,-1.370012905,0.085341437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2109St11,287.749,88.679,41.197,0.31301804,0.335151826,0.014360051,-1.541344509,0.061616481,13,6.088,3.912,0.154591257,0.176844936,0.034427132,-0.646399424,0.259010357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2164St01,303.736,63.454,23.547,0.298092562,0.328615739,0.017762536,-1.718402018,0.042861656,29.988,17.916,14.054,0.175112736,0.220876594,0.021408293,-2.137669681,0.016271781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2164St03,132.389,28.096,16.356,0.267723127,0.322767525,0.021952806,-2.50739696,0.006081202,14.997,6.315,4.403,0.122570618,0.183967149,0.032513767,-1.888324141,0.029491224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2164St05,223.5,48.762,19.483,0.326162327,0.326218431,0.020600349,-0.002723426,0.498913512,36.106,7.354,3.054,0.101669909,0.160443079,0.027139895,-2.165563626,0.015172274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2164St07,244.764,46.574,20.403,0.326241565,0.327438955,0.020250703,-0.059128303,0.476424958,48.076,24.296,15.9,0.162288175,0.222866927,0.019768827,-3.064357488,0.00109069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2164St09,233.154,53.01,17.417,0.291339179,0.324025322,0.020345205,-1.606577217,0.054073572,37.332,26.891,20.356,0.181545492,0.225325619,0.018552488,-2.359798125,0.009142441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2164St11,349.249,97.464,38.876,0.319374766,0.334679031,0.014279123,-1.071793038,0.1419065,17.249,8.233,5.125,0.113459625,0.191093954,0.029487532,-2.63278491,0.004234398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2183St01,145,18.388,7.861,0.217234523,0.299709126,0.028439103,-2.90004233,0.001865561,39.285,23.757,15.226,0.186513337,0.22199466,0.02052052,-1.729065465,0.04189869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2183St03,314.545,30.922,9.585,0.254748388,0.307602211,0.02506379,-2.108772187,0.017482125,11,8.1,6.842,0.129907211,0.203497208,0.030152919,-2.440559597,0.007332263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2183St05,344.685,67.38,26.885,0.321253744,0.330306262,0.016988727,-0.532854407,0.297067184,25.997,14.306,9.17,0.122219748,0.212040138,0.025259455,-3.555911699,0.000188335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2183St07,165.799,20.835,9.685,0.241901199,0.309478065,0.028218122,-2.3948038,0.00831463,19.991,3.288,2.003,0.103977665,0.118941046,0.029881759,-0.500753013,0.308272479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2183St11,232.999,26.191,10.384,0.245056297,0.31113612,0.026432696,-2.499927474,0.006210937,19.122,4.414,2.273,0.069997106,0.133440405,0.025691825,-2.46939635,0.006767061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2192St01,354.887,54.678,20.129,0.309755264,0.326977605,0.01928457,-0.893063296,0.185911639,14,3.749,1.943,0.096889008,0.115906095,0.021691867,-0.876692046,0.190326964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2192St03,233.586,34.133,12.909,0.285634545,0.317821861,0.023109949,-1.392790422,0.081841588,15,6.349,4.022,0.090837153,0.178933808,0.034864518,-2.526828399,0.005754886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2192St05,288.819,37.445,14.372,0.288720671,0.31929761,0.021709117,-1.408483793,0.079493931,17.997,8.622,5.558,0.173710093,0.194626317,0.029994137,-0.697343766,0.242793842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2192St07,247.499,46.516,22.405,0.286482649,0.328092699,0.018811272,-2.211974275,0.013484221,21.125,8.935,4.547,0.159405325,0.18540506,0.028143745,-0.923819292,0.177790205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2192St09,235.545,43.46,17.313,0.287876198,0.323757063,0.021960434,-1.633886874,0.051141303,40.077,20.658,12.772,0.142421551,0.219399884,0.021714056,-3.5450923,0.000196238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2192St11,231.453,23.394,7.346,0.233748124,0.296874365,0.026069471,-2.421462274,0.007729103,29.641,12.854,6.66,0.152921538,0.202480701,0.026575961,-1.86481168,0.031103903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2241St01,367.686,86.249,34.936,0.29883243,0.333531948,0.015054446,-2.30493493,0.010585109,22.492,7.157,4.687,0.121626778,0.186653833,0.029659761,-2.192433548,0.014174108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2241St03,533.375,141.249,58.243,0.323667839,0.337542914,0.012181581,-1.13902087,0.127347225,25.285,9.41,5.257,0.063530565,0.191608708,0.029949165,-4.276518013,9.49E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2241St05,346.249,109.895,49.936,0.306463901,0.336524038,0.013294077,-2.261167587,0.011874441,60.531,26.169,13.747,0.132687728,0.219221317,0.02170558,-3.986697843,3.35E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2241St07,379.757,68.99,17.906,0.29311256,0.324267008,0.019628493,-1.587205292,0.056233078,47.459,12.095,4.667,0.092433547,0.186962845,0.025559838,-3.69835284,0.000108502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2241St09,399.29,128.498,59.572,0.342635265,0.337310097,0.011842557,0.449663697,0.326476476,34.991,13.649,7.126,0.137395894,0.203973981,0.026026416,-2.558096623,0.005262342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2241St11,371.044,101.593,38.263,0.317760598,0.33460768,0.015079849,-1.117191681,0.131956188,81.127,20.647,7.775,0.118516663,0.206626152,0.025717688,-3.426026795,0.00030624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
