,Or2Cr2014St01,Or2Cr2014St03,Or2Cr2014St05,Or2Cr2014St07,Or2Cr2014St09,Or2Cr2014St11,Or2Cr2023St03,Or2Cr2023St05,Or2Cr2023St07,Or2Cr2023St09,Or2Cr2023St11,Or2Cr2039St01,Or2Cr2039St03,Or2Cr2039St05,Or2Cr2039St07,Or2Cr2039St09,Or2Cr2039St11,Or2Cr2046St01,Or2Cr2046St03,Or2Cr2046St05,Or2Cr2046St07,Or2Cr2046St09,Or2Cr2046St11,Or2Cr2053St01,Or2Cr2053St03,Or2Cr2053St05,Or2Cr2053St07,Or2Cr2053St09,Or2Cr2053St11,Or2Cr2099St01,Or2Cr2099St03,Or2Cr2099St05,Or2Cr2099St07,Or2Cr2099St09,Or2Cr2099St11,Or2Cr2109St01,Or2Cr2109St03,Or2Cr2109St05,Or2Cr2109St07,Or2Cr2109St09,Or2Cr2109St11,Or2Cr2164St01,Or2Cr2164St03,Or2Cr2164St05,Or2Cr2164St07,Or2Cr2164St09,Or2Cr2164St11,Or2Cr2183St01,Or2Cr2183St03,Or2Cr2183St05,Or2Cr2183St07,Or2Cr2183St09,Or2Cr2183St11,Or2Cr2192St01,Or2Cr2192St03,Or2Cr2192St05,Or2Cr2192St07,Or2Cr2192St09,Or2Cr2192St11,Or2Cr2241St01,Or2Cr2241St03,Or2Cr2241St05,Or2Cr2241St07,Or2Cr2241St09,Or2Cr2241St11,Or2Cr2243St01,Or2Cr2243St03,Or2Cr2243St05,Or2Cr2243St07,Or2Cr2243St09,Or2Cr2243St11,Or2Cr2245St01,Or2Cr2245St03,Or2Cr2245St05,Or2Cr2245St07,Or2Cr2245St09,Or2Cr2245St11,Or2Cr2248St01,Or2Cr2248St03,Or2Cr2248St05,Or2Cr2248St07,Or2Cr2248St09,Or2Cr2248St11
89,0,35,168,280,0,0,0,65,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,23,39,0,90,26,44,0,0,91,180,0,0,88,0,0,0,0,117,0,221,255,416,68,114,0,0,0,72,0,0,105,0,45,20,41,0,1309,1749,198,0,355,0,0,635,0,427,0,0,133,256,414,0,0,0,207,744,374,348,169
92,0,0,177,0,0,927,0,0,643,0,144,0,0,0,179,0,96,0,0,0,0,0,241,0,0,0,223,344,104,0,0,231,683,1007,0,0,0,0,0,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,657,338,219,620,0,0,456,0,457,0,166,0,338,0,71,0,0,0,0,0,0,155
94,0,91,179,262,20,16,0,8,0,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,14,8,19,0,0,0,21,121,157,0,0,0,0,0,0,270,0,0,239,1002,71,346,0,38,0,72,0,40,40,22,76,194,89,0,78,75,109,79,1799,754,85,77,0,81,94,0,144,202,262,0,25,19,349,373,1013,208,0
97,0,0,135,0,0,0,0,159,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,45,0,0,0,0,0,32,1388,3534,483,0,0,228,0,0,0,0,0,82,0,128,44,0,0,0,0,191,0,464,169,0
98,0,0,0,0,0,1801,0,1151,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,3288,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,551,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,236,0,157,0,0,0,97,0,0,0,0,0,0,0,0,0,123,204,0,141,0,0,0,0,0,0,0,0,309,187,419,3540,0,134,0,0,995,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,24,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,102,22,0,0,0,0,58,0,248,220,416,0,0,906,0,0,74,0,285,289,0,0,329,119,0,18,0,113,73,2575,372,1224
114,0,200,54,0,0,0,78,857,32,0,0,0,0,0,26,71,0,0,0,0,0,35,0,0,0,0,0,0,0,0,115,263,250,590,611,40,0,0,0,94,122,186,1796,532,74,667,216,0,0,0,0,0,0,0,0,0,0,0,0,87,16,0,47,0,93,0,66,75,0,39,64,0,58,70,0,15,31,0,0,0,193,0,0
121,0,0,0,0,0,0,0,0,0,59,0,329,65,0,73,0,170,0,0,55,0,0,72,0,0,0,0,129,242,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,172,0,105,41,0,0,0,0,0,0,0,0,0,0,252,0,190,77,0,333,326,351,173,118,385,195,349,132,99,66,0,0,43,491,99,1046,217,596
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,2983,0,0,42,0,99,170,0,25,43,25,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,338,2813,331,0,0,0,0,31,0,0,0,0,0,0,0,34,0,0,0,0,0,0
130,244,126,115,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,79,0,0,0,0,0,69,42,0,0,0,0,247,52,144,337,183,0,168,0,76,0,63,81,0,0,125,49,193,98,0,76,133,38,73,94,469,82,83,0,97,0,0,146,124,543,0,0,70,178,535,850,189,72
154,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,28,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1292,125,611,0,0,0,0,0,0,0,2005,0,0,0,0,80,0,0,0,266,0,0,238,0
159,0,0,0,40,0,9,11,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,73,17,22,32,14,0,0,0,51,41,76,0,0,0,0,0,0,67,16,17,55,575,0,76,22,19,22,44,0,25,68,29,46,36,55,45,127,452,39,27,156,27,28,134,0,61,42,0,28,87,161,0,0,0,205,102,1255,75,35
161,58,66,43,0,36,0,0,65,17,0,20,0,0,25,0,9,0,0,0,0,0,0,51,0,0,0,0,35,10,0,0,0,68,133,52,0,0,0,0,0,0,67,0,97,55,378,0,0,0,0,0,47,25,0,0,0,0,63,23,46,64,1365,122,246,511,10,0,74,57,122,31,20,0,68,0,73,0,0,0,40,90,0,376
162,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,169,567,0,102,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,206,1292,212,0,0,0,0,86,0,117,0,0,0,125,0,131,0,0,713,276,0,0,0
176,3240,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,0,0,0,0,0
177,0,0,82,0,86,372,0,37,95,24,259,0,0,32,34,49,32,0,0,0,0,0,178,0,50,31,119,242,100,0,0,32,264,428,54,0,0,0,0,104,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,390,108,60,139,0,0,48,187,201,63,0,0,149,27,0,0,0,64,0,0,0,134
179,0,0,0,0,0,0,0,0,0,30,0,113,0,0,29,0,0,42,0,0,0,0,0,124,342,114,65,64,281,0,0,61,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,483,35,105,0,22,99,47,551,0,58,0,33,421,69,45,33,24,201,63,46,0,0,0,0,186,57,17,0,0,0,23,0,51,144,48,45
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,127,0,0,0,0,0,0,0,164,0,87,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3354,0,0,0,0,0,0,42,0,0,0,0,0,0,14,0,0,0,17,0,0
203,0,60,40,0,0,0,0,17,117,0,0,168,283,0,99,0,0,0,44,0,0,46,0,0,0,42,0,0,0,131,0,0,75,38,0,0,0,0,47,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,70,129,106,95,0,0,360,0,0,81,28,0,71,33,600,0,0,89,0,231
204,0,0,0,0,28,174,0,0,0,29,10,0,0,0,0,0,65,0,0,0,0,0,0,0,50,22,0,143,19,0,0,0,10,425,7,0,0,0,0,0,0,13,0,0,8,252,0,436,0,0,0,12,0,18,0,0,0,0,0,0,36,72,0,0,97,77,0,29,0,17,9,0,0,46,20,0,0,0,1135,38,313,39,0
206,0,0,19,8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,29,15,0,0,0,0,25,0,0,0,0,0,0,0,0,0,30,97,32,0,14,0,14,17,37,18,0,0,0,21,104,52,0,65,275,36,0,124,28,0,84,0,76,12,0,39,509,174,17,13,0,279,782,341,89,77
216,0,100,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,108,0,62,0,0,0,0,0,0,236,0,0,107,248,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,261,421,962,156,422
220,0,18,56,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,26,96,132,0,0,0,8,24,57,0,0,0,37,67,84,119,0,65,71,31,29,78,67,15,77,0,82,0,0,23,208,29,19,32,0,657,7,970,21,32
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,85,51,112,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,416,134,131,187,0,95,0,0,231,0,0,0,0,0,0,0,0,0,225,403,0,920
226,0,0,82,0,0,44,0,43,0,34,0,37,0,0,0,0,0,15,0,0,0,0,0,145,213,0,0,66,60,0,0,0,129,157,0,0,0,0,48,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,66,0,0,0,0,71,424,333,217,179,0,0,89,0,59,81,62,122,97,0,0,0,0,0,0,0,0,214
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,7,0,14,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,13,54,0,59,0,95,37,90,47,0,0,0,97,100,75,0,24,58,121,0,34,0,20,0,0,0,0,0,61,348,10,10,0,0,0,1051,607,48,31
233,0,0,137,18,4,16,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,0,0,0,0,0,0,0,31,0,35,270,85,10,62,0,0,31,22,0,0,0,0,0,0,0,0,37,292,86,25,404,61,39,41,0,15,0,0,75,175,63,8,0,0,833,29,79,0,0
